nama,posisi,usia,negara
Hector Bellerin,Right Back,24,Spain
Mesut Ozil,Midfielder,31,Germany
Emiliano Martinez,Goalkeeper,27,Argentina
Calum Chambers,Defender,24,England
Matt Macey,Goalkeeper,25,England
Ainsley Maitland-Niles,Midfielder,22,England
Kieran Tierney,Defender,22,Scotland
Alexandre Lacazette,Forward,28,France
Shkodran Mustafi,Defender,27,Germany
David Luiz,Defender,32,Brazil
Sokratis Papastathopoulos,Defender,31,Greece
Pierre-Emerick Aubameyang,Forward,30,Gabon
Bernd Leno,Goalkeeper,27,Germany
Daniel Ceballos,Centre Midfielder,23,Spain
Granit Xhaka,Midfielder,27,Switzerland
Rob Holding,Centre Back,24,England
Sead Kolasinac,Defender,26,Bosnia-Herzegovina
Konstantinos Mavropanos,Defender,22,Greece
Matteo Guendouzi,Centre Midfielder,20,France
Lucas Torreira,Defensive Midfielder,23,Uruguay
Unai Emery,Manager,48,Spain
Nicolas Pepe ,Winger,24,France
Jherson Vergara,Defender,25,Colombia
Victor Alvarez,Left Back,26,Spain
Maksim Belyayev,Defender,28,Russia
